Player,Season,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
B Sai Sudharsan (GT),2025,15,15,1,759,108*,54.21,486,156.17,1,6,-,88,21
SA Yadav (MI),2025,16,16,5,717,73*,65.18,427,167.91,-,5,-,69,38
V Kohli (RCB),2025,15,15,3,657,73*,54.75,454,144.71,-,8,-,66,19
Shubman Gill (GT),2025,15,15,2,650,93*,50,417,155.87,-,6,-,62,24
MR Marsh (LSG),2025,13,13,-,627,117,48.23,383,163.7,1,6,2,56,37
SS Iyer (PBKS),2025,17,17,5,604,97*,50.33,345,175.07,-,6,1,43,39
YBK Jaiswal (RR),2025,14,14,1,559,75,43,350,159.71,-,6,-,60,28
Prabhsimran Singh (PBKS),2025,17,17,-,549,91,32.29,342,160.52,-,4,1,56,30
KL Rahul (DC),2025,13,13,3,539,112*,53.9,360,149.72,1,3,-,52,21
JC Buttler (GT),2025,14,13,4,538,97*,59.77,330,163.03,-,5,1,52,24
N Pooran (LSG),2025,14,14,2,524,87*,43.66,267,196.25,-,5,-,45,40
H Klaasen (SRH),2025,14,13,2,487,105*,44.27,282,172.69,1,1,-,42,25
P Arya (PBKS),2025,17,17,-,475,103,27.94,265,179.24,1,2,1,55,25
AK Markram (LSG),2025,13,13,-,445,66,34.23,299,148.82,-,5,-,38,22
Abhishek Sharma (SRH),2025,14,13,-,439,141,33.76,227,193.39,1,2,1,46,28
RG Sharma (MI),2025,15,15,1,418,81,29.85,280,149.28,-,4,1,41,22
PD Salt (RCB),2025,13,13,1,403,65,33.58,229,175.98,-,4,-,48,22
R Parag (RR),2025,14,14,2,393,95,32.75,236,166.52,-,1,-,27,27
AM Rahane (KKR),2025,13,12,1,390,61,35.45,264,147.72,-,3,-,36,20
RD Rickelton (MI),2025,14,14,1,388,62*,29.84,257,150.97,-,3,-,47,17
TM Head (SRH),2025,13,12,-,374,76,31.16,230,162.6,-,3,1,50,15
N Wadhera (PBKS),2025,16,15,3,369,70,30.75,253,145.84,-,2,-,28,21
S Dube (CSK),2025,14,14,3,357,50,32.45,270,132.22,-,1,-,22,21
Ishan Kishan (SRH),2025,14,13,3,354,106*,35.4,232,152.58,1,1,1,33,15
Shashank Singh (PBKS),2025,17,14,7,350,61*,50,228,153.5,-,3,-,23,18
NT Tilak Varma (MI),2025,16,13,2,343,59,31.18,248,138.3,-,2,-,23,16
DC Jurel (RR),2025,14,13,4,333,70,37,213,156.33,-,2,1,22,22
A Badoni (LSG),2025,14,11,1,329,74,32.9,222,148.19,-,2,-,27,14
RM Patidar (RCB),2025,15,14,1,312,64,24,217,143.77,-,2,-,25,14
Abishek Porel (DC),2025,13,13,1,301,51,25.08,205,146.82,-,1,1,28,12
RA Jadeja (CSK),2025,14,14,5,301,77*,33.44,222,135.58,-,2,1,25,10
T Stubbs (DC),2025,14,13,7,300,41*,50,199,150.75,-,-,-,25,11
A Raghuvanshi (KKR),2025,12,11,2,300,50,33.33,215,139.53,-,1,-,30,8
SE Rutherford (GT),2025,13,11,2,291,46,32.33,185,157.29,-,-,1,22,18
SV Samson (RR),2025,9,9,1,285,66,35.62,203,140.39,-,1,-,27,13
JP Inglis (PBKS),2025,11,11,2,278,73,30.88,171,162.57,-,1,-,26,16
RR Pant (LSG),2025,14,13,2,269,118*,24.45,202,133.16,1,1,2,23,16
AR Patel (DC),2025,12,11,1,263,43,26.3,167,157.48,-,-,-,23,15
JM Sharma (RCB),2025,15,11,4,261,85*,37.28,148,176.35,-,1,-,24,17
V Suryavanshi (RR),2025,7,7,-,252,101,36,122,206.55,1,1,1,18,24
Naman Dhir (MI),2025,16,12,4,252,46,31.5,138,182.6,-,-,1,24,13
D Padikkal (RCB),2025,10,10,1,247,61,27.44,164,150.6,-,2,1,21,14
