Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
YS Chahal (RR),2022-2022,17,17,408,68,-,527,27,May-40,19.51,7.75,15.11,1,1
PW Hasaranga (RCB),2022-2022,16,16,342,57,1,430,26,May-18,16.53,7.54,13.15,1,1
K Rabada (PBKS),2022-2022,13,13,288,48,-,406,23,Apr-33,17.65,8.45,12.52,2,-
Umran Malik (SRH),2022-2022,14,14,295,49.1,1,444,22,May-25,20.18,9.03,13.4,1,1
Kuldeep Yadav (DC),2022-2022,14,14,298,49.4,-,419,21,Apr-14,19.95,8.43,14.19,2,-
Mohammed Shami (GT),2022-2022,16,16,366,61,-,488,20,Mar-25,24.4,8,18.3,-,-
JR Hazlewood (RCB),2022-2022,12,12,279,46.3,1,377,20,Apr-25,18.85,8.1,13.95,1,-
Rashid Khan (GT),2022-2022,16,16,383,63.5,-,421,19,Apr-24,22.15,6.59,20.15,1,-
HV Patel (RCB),2022-2022,15,15,321,53.3,2,410,19,Apr-34,21.57,7.66,16.89,1,-
M Prasidh Krishna (RR),2022-2022,17,17,399,66.3,3,551,19,Mar-22,29,8.28,21,-,-
Avesh Khan (LSG),2022-2022,13,13,286,47.4,1,416,18,Apr-24,23.11,8.72,15.88,1,-
T Natarajan (SRH),2022-2022,11,11,258,43,-,406,18,03-Oct,22.55,9.44,14.33,-,-
AD Russell (KKR),2022-2022,14,13,169,28.1,-,278,17,04-May,16.35,9.86,9.94,1,-
UT Yadav (KKR),2022-2022,12,12,288,48,2,339,16,Apr-23,21.18,7.06,18,1,-
TA Boult (RR),2022-2022,16,16,372,62,3,492,16,Feb-18,30.75,7.93,23.25,-,-
KK Ahmed (DC),2022-2022,10,10,235,39.1,-,315,16,Mar-25,19.68,8.04,14.68,-,-
DJ Bravo (CSK),2022-2022,10,10,206,34.2,1,299,16,Mar-20,18.68,8.7,12.87,-,-
Mukesh Choudhary (CSK),2022-2022,13,13,273,45.3,-,424,16,Apr-46,26.5,9.31,17.06,1,-
JJ Bumrah (MI),2022-2022,14,14,320,53.2,2,383,15,05-Oct,25.53,7.18,21.33,-,1
SN Thakur (DC),2022-2022,14,14,290,48.2,1,473,15,Apr-36,31.53,9.78,19.33,1,-
Mohsin Khan (LSG),2022-2022,9,9,198,33,2,197,14,Apr-16,14.07,5.96,14.14,1,-
RD Chahar (PBKS),2022-2022,13,13,280,46.4,1,360,14,Mar-25,25.71,7.71,20,-,-
TG Southee (KKR),2022-2022,9,9,210,35,-,275,14,Mar-20,19.64,7.85,15,-,-
JO Holder (LSG),2022-2022,12,12,249,41.3,-,391,14,Mar-31,27.92,9.42,17.78,-,-
Ravi Bishnoi (LSG),2022-2022,14,14,324,54,-,456,13,Feb-22,35.07,8.44,24.92,-,-
DR Sams (MI),2022-2022,11,11,252,42,-,370,13,Apr-30,28.46,8.8,19.38,1,-
B Kumar (SRH),2022-2022,14,14,313,52.1,2,383,12,Mar-22,31.91,7.34,26.08,-,-
M Theekshana (CSK),2022-2022,9,9,210,35,-,261,12,Apr-33,21.75,7.45,17.5,1,-
R Ashwin (RR),2022-2022,17,17,402,67,-,503,12,Mar-17,41.91,7.5,33.5,-,-
LH Ferguson (GT),2022-2022,13,13,286,47.4,-,427,12,Apr-28,35.58,8.95,23.83,1,-
OC McCoy (RR),2022-2022,7,7,155,25.5,-,237,11,Mar-23,21.54,9.17,14.09,-,-
Yash Dayal (GT),2022-2022,9,9,192,32,-,296,11,Mar-40,26.9,9.25,17.45,-,-
KH Pandya (LSG),2022-2022,14,12,228,38,1,265,10,Mar-19,26.5,6.97,22.8,-,-
Arshdeep Singh (PBKS),2022-2022,14,14,300,50,-,385,10,Mar-37,38.5,7.7,30,-,-
SP Narine (KKR),2022-2022,14,14,336,56,-,312,9,Feb-21,34.66,5.57,37.33,-,-
M Ashwin (MI),2022-2022,8,8,174,29,-,228,9,Feb-14,25.33,7.86,19.33,-,-
PVD Chameera (LSG),2022-2022,12,12,264,44,-,384,9,Feb-17,42.66,8.72,29.33,-,-
A Nortje (DC),2022-2022,6,6,134,22.2,-,217,9,Mar-42,24.11,9.71,14.88,-,-
Mohammed Siraj (RCB),2022-2022,15,15,306,51,-,514,9,Feb-30,57.11,10.07,34,-,-
MM Ali (CSK),2022-2022,10,10,143,23.5,-,158,8,Mar-13,19.75,6.62,17.87,-,-
HH Pandya (GT),2022-2022,15,10,183,30.3,-,222,8,Mar-17,27.75,7.27,22.87,-,-
Mustafizur Rahman (DC),2022-2022,8,8,192,32,-,244,8,Mar-18,30.5,7.62,24,-,-
RP Meredith (MI),2022-2022,8,8,168,28,-,236,8,Feb-24,29.5,8.42,21,-,-
