Player,Season,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
M Prasidh Krishna (GT),2025,15,15,354,59,-,488,25,Apr-41,19.52,8.27,14.16,1,-
Noor Ahmad (CSK),2025,14,14,300,50,-,408,24,Apr-18,17,8.16,12.5,2,-
JR Hazlewood (RCB),2025,12,12,264,44,-,386,22,Apr-33,17.54,8.77,12,1,-
TA Boult (MI),2025,16,16,346,57.4,-,517,22,Apr-26,23.5,8.96,15.72,1,-
Arshdeep Singh (PBKS),2025,17,16,350,58.2,1,518,21,Mar-16,24.66,8.88,16.66,-,-
R Sai Kishore (GT),2025,15,15,255,42.3,-,393,19,Mar-30,20.68,9.24,13.42,-,-
JJ Bumrah (MI),2025,12,12,284,47.2,-,316,18,Apr-22,17.55,6.67,15.77,1,-
CV Varun (KKR),2025,13,13,300,50,-,383,17,Mar-22,22.52,7.66,17.64,-,-
KH Pandya (RCB),2025,15,15,276,46,-,379,17,Apr-45,22.29,8.23,16.23,1,-
B Kumar (RCB),2025,14,14,312,52,-,483,17,Mar-33,28.41,9.28,18.35,-,-
VG Arora (KKR),2025,12,12,255,42.3,1,430,17,Mar-29,25.29,10.11,15,-,-
PJ Cummins (SRH),2025,14,14,298,49.4,-,450,16,Mar-19,28.12,9.06,18.62,-,-
M Jansen (PBKS),2025,14,14,283,47.1,-,434,16,Mar-17,27.12,9.2,17.68,-,-
Mohammed Siraj (GT),2025,15,15,342,57,-,527,16,Apr-17,32.93,9.24,21.37,1,-
YS Chahal (PBKS),2025,14,13,270,45,-,430,16,Apr-28,26.87,9.55,16.87,2,-
HV Patel (SRH),2025,13,13,263,43.5,-,430,16,Apr-28,26.87,9.8,16.43,2,-
Kuldeep Yadav (DC),2025,14,13,306,51,-,361,15,Mar-22,24.06,7.07,20.4,-,-
KK Ahmed (CSK),2025,14,14,280,46.4,-,447,15,Mar-29,29.8,9.57,18.66,-,-
Harshit Rana (KKR),2025,13,13,264,44,-,448,15,Mar-25,29.86,10.18,17.6,-,-
DS Rathi (LSG),2025,13,13,312,52,-,429,14,Feb-30,30.64,8.25,22.28,-,-
HH Pandya (MI),2025,15,14,210,35,-,342,14,May-36,24.42,9.77,15,-,1
MA Starc (DC),2025,11,10,216,36,-,366,14,May-35,26.14,10.16,15.42,-,1
E Malinga (SRH),2025,7,7,160,26.4,-,238,13,Mar-31,18.3,8.92,12.3,-,-
Yash Dayal (RCB),2025,15,15,294,49,-,470,13,Feb-18,36.15,9.59,22.61,-,-
M Pathirana (CSK),2025,12,12,251,41.5,-,424,13,Mar-36,32.61,10.13,19.3,-,-
Avesh Khan (LSG),2025,13,13,284,47.2,-,487,13,Mar-37,37.46,10.28,21.84,-,-
SN Thakur (LSG),2025,10,10,204,34,-,375,13,Apr-34,28.84,11.02,15.69,1,-
SP Narine (KKR),2025,12,12,270,45,-,351,12,Mar-13,29.25,7.8,22.5,-,-
Mukesh Kumar (DC),2025,12,12,237,39.3,1,408,12,Apr-33,34,10.32,19.75,1,-
JD Unadkat (SRH),2025,7,7,143,23.5,-,175,11,Mar-24,15.9,7.34,13,-,-
PW Hasaranga (RR),2025,11,11,246,41,-,371,11,Apr-35,33.72,9.04,22.36,1,-
V Nigam (DC),2025,14,13,234,39,-,356,11,Feb-18,32.36,9.12,21.27,-,-
DL Chahar (MI),2025,14,14,246,41,1,376,11,02-Dec,34.18,9.17,22.36,-,-
