Season,Player,Type,Price,Team
2022,Rashid Khan,BOWL,15,GT
2022,Hardik Pandya,AR,15,GT
2022,Lockie Ferguson,BOWL,10,GT
2022,Rahul Tewatia,AR,9,GT
2022,Shubman Gill,BAT,8,GT
2022,Mohammad Shami,BOWL,6.25,GT
2022,Yash Dayal,BOWL,3.2,GT
2022,David Miller,BAT,3,GT
2022,R. Sai Kishore,BOWL,3,GT
2022,Abhinav Sadarangani,BAT,2.6,GT
2022,Matthew Wade,WICKETKEEPER,2.4,GT
2022,Alzarri Joseph,BOWL,2.4,GT
2022,Jason Roy,BAT,2,GT
2022,Wriddhiman Saha,WICKETKEEPER,1.9,GT
2022,Jayant Yadav,AR,1.7,GT
2022,Vijay Shankar,AR,1.4,GT
2022,Dominic Drakes,AR,1.1,GT
2022,Varun Aaron,BOWL,0.5,GT
2022,Gurkeerat Singh,AR,0.5,GT
2022,Noor Ahmad,BOWL,0.3,GT
2022,Darshan Nalkande,AR,0.2,GT
2022,Pradeep Sangwan,AR,0.2,GT
2022,Ravindra Jadeja,AR,16,CSK
2022,Deepak Chahar,BOWL,14,CSK
2022,MS Dhoni,WICKETKEEPER,12,CSK
2022,Moeen Ali,AR,8,CSK
2022,Ambati Rayudu,WICKETKEEPER,6.75,CSK
2022,Ruturaj Gaikwad,BAT,6,CSK
2022,Dwayne Bravo,AR,4.4,CSK
2022,Shivam Dube,AR,4,CSK
2022,Chris Jordan,AR,3.6,CSK
2022,Robin Uthappa,BAT,2,CSK
2022,Mitchell Santner,AR,1.9,CSK
2022,Adam Milne,BOWL,1.9,CSK
2022,Rajvardhan Hangargekar,AR,1.5,CSK
2022,Prashant Solanki,BOWL,1.2,CSK
2022,Devon Conway,BAT,1,CSK
2022,Maheesh Theekshana,BOWL,0.7,CSK
2022,Dwaine Pretorius,AR,0.5,CSK
2022,K.Bhagath Varma,AR,0.2,CSK
2022,Simarjeet Singh,BOWL,0.2,CSK
2022,N. Jagadeesan,WICKETKEEPER,0.2,CSK
2022,C.Hari Nishaanth,BAT,0.2,CSK
2022,K.M. Asif,BOWL,0.2,CSK
2022,Tushar Deshpande,BOWL,0.2,CSK
2022,Subhranshu Senapati,BAT,0.2,CSK
2022,Mukesh Choudhary,BOWL,0.2,CSK
2022,Rishabh Pant,WICKETKEEPER,16,DC
2022,Shardul Thakur,BOWL,10.75,DC
2022,Axar Patel,AR,9,DC
2022,Prithvi Shaw,BAT,7.5,DC
2022,Mitchell Marsh,AR,6.5,DC
2022,Anrich Nortje,BOWL,6.5,DC
2022,David Warner,BAT,6.25,DC
2022,Syed Khaleel Ahmed,BOWL,5.25,DC
2022,Chetan Sakariya,BOWL,4.2,DC
2022,Rovman Powell,BAT,2.8,DC
2022,K.S. Bharat,WICKETKEEPER,2,DC
2022,Mustafizur Rahman,BOWL,2,DC
2022,Kuldeep Yadav,BOWL,2,DC
2022,Kamlesh Nagarkoti,AR,1.1,DC
