Season,Player,Type,Team,Price in lac,,Price
2023,Ajinkya Rahane ,BAT ,CSK,"50,00,000",,0.5
2023,Bhagath Varma ,AR ,CSK,"20,00,000",,0.2
2023,Kyle Jamieson ,BOWL ,CSK,"1,00,00,000",,1
2023,Ajay Mandal ,AR ,CSK,"20,00,000",,0.2
2023,Nishant Sindhu ,AR ,CSK,"60,00,000",,0.6
2023,Shaik Rasheed ,BAT ,CSK,"20,00,000",,0.2
2023,Ben Stokes ,AR ,CSK,"16,25,00,000",,16.25
2023,Phil Salt ,BAT ,DC,"2,00,00,000",,2
2023,Ishant Sharma ,BOWL ,DC,"50,00,000",,0.5
2023,Rilee Rossouw ,BAT ,DC,"4,60,00,000",,4.6
2023,Manish Pandey ,BAT ,DC,"2,40,00,000",,2.4
2023,Mukesh Kumar ,BOWL ,DC,"5,50,00,000",,5.5
2023,Shivam Mavi ,BOWL ,GT,"6,00,00,000",,6
2023,K.S. Bharat ,BAT ,GT,"1,20,00,000",,1.2
2023,Urvil Patel ,BAT ,GT,"20,00,000",,0.2
2023,Mohit Sharma ,BOWL ,GT,"50,00,000",,0.5
2023,Joshua Little ,BOWL ,GT,"4,40,00,000",,4.4
2023,Kane Williamson ,BAT ,GT,"2,00,00,000",,2
2023,Odean Smith ,AR ,GT,"50,00,000",,0.5
2023,Kulwant Khejroliya ,BOWL ,KKR,"20,00,000",,0.2
2023,Shakib Al Hasan ,AR ,KKR,"1,50,00,000",,1.5
2023,Vaibhav Arora ,BOWL ,KKR,"60,00,000",,0.6
2023,N. Jagadeesan ,BAT ,KKR,"90,00,000",,0.9
2023,David Wiese ,AR ,KKR,"1,00,00,000",,1
2023,Mandeep Singh ,BAT ,KKR,"50,00,000",,0.5
2023,Litton Das ,BAT ,KKR,"50,00,000",,0.5
2023,Suyash Sharma ,BOWL ,KKR,"20,00,000",,0.2
2023,Amit Mishra ,BOWL , LSG,"50,00,000",,0.5
2023,Nicholas Pooran ,BAT , LSG,"16,00,00,000",,16
2023,Romario Shepherd ,AR , LSG,"50,00,000",,0.5
2023,Daniel Sams ,AR , LSG,"75,00,000",,0.75
2023,Swapnil Singh ,AR , LSG,"20,00,000",,0.2
2023,Yudhvir Charak ,AR , LSG,"20,00,000",,0.2
2023,Prerak Mankad ,AR , LSG,"20,00,000",,0.2
2023,Yash Thakur ,BOWL , LSG,"45,00,000",,0.45
2023,Naveen Ul Haq ,BOWL , LSG,"50,00,000",,0.5
2023,Jaydev Unadkat ,BOWL , LSG,"50,00,000",,0.5
2023,Jhye Richardson ,BOWL ,MI,"1,50,00,000",,1.5
2023,Nehal Wadhera ,AR ,MI,"20,00,000",,0.2
2023,Raghav Goyal ,BOWL ,MI,"20,00,000",,0.2
2023,Cameron Green ,AR ,MI,"17,50,00,000",,17.5
2023,Vishnu Vinod ,BAT ,MI,"20,00,000",,0.2
2023,Duan Jansen ,AR ,MI,"20,00,000",,0.2
