Player,Team,Type,Price,Season
Virat Kohli,RCB,BAT,21,2025
Rajat Patidar,RCB,BAT,11,2025
Yash Dayal,RCB,BOWL,5,2025
Jasprit Bumrah,MI,BOWL,18,2025
Suryakumar Yadav,MI,BAT,16.35,2025
Hardik Pandya,MI,AR,16.35,2025
Rohit Sharma,MI,BAT,16.3,2025
Tilak Varma,MI,AR,8,2025
Heinrich Klaasen,SRH,BAT,23,2025
Pat Cummins,SRH,AR,18,2025
Abhishek Sharma,SRH,AR,14,2025
Travis Head,SRH,BAT,14,2025
Nitish Kumar Reddy,SRH,AR,6,2025
Ruturaj Gaikwad,CSK,BAT,18,2025
Ravindra Jadeja,CSK,AR,18,2025
Matheesha Pathirana,CSK,BOWL,13,2025
Shivam Dube,CSK,AR,12,2025
MS Dhoni,CSK,BAT,4,2025
Axar Patel,DC,AR,16.5,2025
Kuldeep Yadav,DC,BOWL,13.25,2025
Tristan Stubbs,DC,BAT,10,2025
Abishek Porel,DC,BAT,4,2025
Rinku Singh,KKR,BAT,13,2025
Varun Chakravarthy,KKR,AR,12,2025
Sunil Narine,KKR,BOWL,12,2025
Andre Russell,KKR,AR,12,2025
Harshit Rana,KKR,BOWL,4,2025
Ramandeep Singh,KKR,AR,4,2025
Sanju Samson,RR,BAT,18,2025
Yashasvi Jaiswal,RR,AR,18,2025
Riyan Parag,RR,AR,14,2025
Dhruv Jurel,RR,BAT,14,2025
Shimron Hetmyer,RR,BAT,11,2025
Sandeep Sharma,RR,BOWL,4,2025
Rashid Khan,GT,BOWL,18,2025
Shubman Gill,GT,BAT,16.5,2025
Sai Sudharsan,GT,AR,8.5,2025
Rahul Tewatia,GT,AR,4,2025
M Shahrukh Khan,GT,AR,4,2025
Nicholas Pooran,LSG,BAT,21,2025
Ravi Bishnoi,LSG,BOWL,11,2025
Mayank Yadav,LSG,BOWL,11,2025
Mohsin Khan,LSG,BOWL,4,2025
Ayush Badoni,LSG,AR,4,2025
Shashank Singh,PBKS,AR,5.5,2025
Prabhsimran Singh,PBKS,BAT,4,2025
Jos Buttler,GT,BAT,15.75,2025
Shreyas Iyer,PBKS,BAT,26.75,2025
Rishabh Pant,LSG,BAT,27,2025
Kagiso Rabada,GT,BOWL,10.75,2025
Arshdeep Singh,PBKS,BOWL,18,2025
Mitchell Starc,DC,BOWL,11.75,2025
Yuzvendra Chahal,PBKS,BOWL,18,2025
Liam Livingstone,RCB,AR,8.75,2025
David Miller,LSG,BAT,7.5,2025
KL Rahul,DC,BAT,14,2025
Mohammed Shami,SRH,BOWL,10,2025
Mohammed Siraj,GT,BOWL,12.25,2025
Harry Brook,DC,BAT,6.25,2025
Devon Conway,CSK,BAT,6.25,2025
Jake Fraser-McGurk,DC,BAT,9,2025
Aiden Markram,LSG,BAT,2,2025
Devdutt Padikkal,RCB,BAT,2,2025
Rahul Tripathi,CSK,BAT,3.4,2025
David Warner,-,BAT,0,2025
